Step,r_semeval_no_super - accuracy,r_semeval_no_super - accuracy__MIN,r_semeval_no_super - accuracy__MAX,r_semeval_100_1.0_32 - accuracy,r_semeval_100_1.0_32 - accuracy__MIN,r_semeval_100_1.0_32 - accuracy__MAX,r_semeval_300_1.0_32 - accuracy,r_semeval_300_1.0_32 - accuracy__MIN,r_semeval_300_1.0_32 - accuracy__MAX,r_semeval_200_1.0_32 - accuracy,r_semeval_200_1.0_32 - accuracy__MIN,r_semeval_200_1.0_32 - accuracy__MAX
0,0.5606936416184971,0.5606936416184971,0.5606936416184971,0.6705202312138728,0.6705202312138728,0.6705202312138728,0.7283236994219653,0.7283236994219653,0.7283236994219653,0.7225433526011561,0.7225433526011561,0.7225433526011561
1,0.5491329479768786,0.5491329479768786,0.5491329479768786,0.6763005780346821,0.6763005780346821,0.6763005780346821,0.7283236994219653,0.7283236994219653,0.7283236994219653,0.7052023121387283,0.7052023121387283,0.7052023121387283
2,0.5491329479768786,0.5491329479768786,0.5491329479768786,0.6647398843930635,0.6647398843930635,0.6647398843930635,0.7167630057803468,0.7167630057803468,0.7167630057803468,0.7052023121387283,0.7052023121387283,0.7052023121387283
3,0.5491329479768786,0.5491329479768786,0.5491329479768786,0.6647398843930635,0.6647398843930635,0.6647398843930635,0.7341040462427746,0.7341040462427746,0.7341040462427746,0.7167630057803468,0.7167630057803468,0.7167630057803468
4,0.5606936416184971,0.5606936416184971,0.5606936416184971,0.6820809248554913,0.6820809248554913,0.6820809248554913,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.7052023121387283,0.7052023121387283,0.7052023121387283
5,0.5780346820809249,0.5780346820809249,0.5780346820809249,0.6705202312138728,0.6705202312138728,0.6705202312138728,0.7283236994219653,0.7283236994219653,0.7283236994219653,0.7052023121387283,0.7052023121387283,0.7052023121387283
6,0.5780346820809249,0.5780346820809249,0.5780346820809249,0.6705202312138728,0.6705202312138728,0.6705202312138728,0.7283236994219653,0.7283236994219653,0.7283236994219653,0.7052023121387283,0.7052023121387283,0.7052023121387283
7,0.5664739884393064,0.5664739884393064,0.5664739884393064,0.6820809248554913,0.6820809248554913,0.6820809248554913,0.7341040462427746,0.7341040462427746,0.7341040462427746,0.7109826589595376,0.7109826589595376,0.7109826589595376
8,0.5722543352601156,0.5722543352601156,0.5722543352601156,0.6994219653179191,0.6994219653179191,0.6994219653179191,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7109826589595376,0.7109826589595376,0.7109826589595376
9,0.5722543352601156,0.5722543352601156,0.5722543352601156,0.6820809248554913,0.6820809248554913,0.6820809248554913,0.7341040462427746,0.7341040462427746,0.7341040462427746,0.7109826589595376,0.7109826589595376,0.7109826589595376
10,0.5780346820809249,0.5780346820809249,0.5780346820809249,0.6878612716763006,0.6878612716763006,0.6878612716763006,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7052023121387283,0.7052023121387283,0.7052023121387283
11,0.5780346820809249,0.5780346820809249,0.5780346820809249,0.6763005780346821,0.6763005780346821,0.6763005780346821,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7283236994219653,0.7283236994219653,0.7283236994219653
12,0.5838150289017341,0.5838150289017341,0.5838150289017341,0.6820809248554913,0.6820809248554913,0.6820809248554913,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7225433526011561,0.7225433526011561,0.7225433526011561
13,0.5838150289017341,0.5838150289017341,0.5838150289017341,0.6763005780346821,0.6763005780346821,0.6763005780346821,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7225433526011561,0.7225433526011561,0.7225433526011561
14,0.5895953757225434,0.5895953757225434,0.5895953757225434,0.6763005780346821,0.6763005780346821,0.6763005780346821,0.7225433526011561,0.7225433526011561,0.7225433526011561,0.7283236994219653,0.7283236994219653,0.7283236994219653
15,0.5895953757225434,0.5895953757225434,0.5895953757225434,0.6936416184971098,0.6936416184971098,0.6936416184971098,0.7341040462427746,0.7341040462427746,0.7341040462427746,0.7167630057803468,0.7167630057803468,0.7167630057803468
16,0.5838150289017341,0.5838150289017341,0.5838150289017341,0.6820809248554913,0.6820809248554913,0.6820809248554913,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7341040462427746,0.7341040462427746,0.7341040462427746
17,0.5895953757225434,0.5895953757225434,0.5895953757225434,0.7052023121387283,0.7052023121387283,0.7052023121387283,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7398843930635838,0.7398843930635838,0.7398843930635838
18,0.6127167630057804,0.6127167630057804,0.6127167630057804,0.6936416184971098,0.6936416184971098,0.6936416184971098,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7225433526011561,0.7225433526011561,0.7225433526011561
19,0.6184971098265896,0.6184971098265896,0.6184971098265896,0.6994219653179191,0.6994219653179191,0.6994219653179191,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.7109826589595376,0.7109826589595376,0.7109826589595376
20,0.6069364161849711,0.6069364161849711,0.6069364161849711,0.7109826589595376,0.7109826589595376,0.7109826589595376,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.7225433526011561,0.7225433526011561,0.7225433526011561
21,0.5953757225433526,0.5953757225433526,0.5953757225433526,0.6936416184971098,0.6936416184971098,0.6936416184971098,0.7225433526011561,0.7225433526011561,0.7225433526011561,0.7341040462427746,0.7341040462427746,0.7341040462427746
22,0.6011560693641619,0.6011560693641619,0.6011560693641619,0.6936416184971098,0.6936416184971098,0.6936416184971098,0.7341040462427746,0.7341040462427746,0.7341040462427746,0.7052023121387283,0.7052023121387283,0.7052023121387283
23,0.5953757225433526,0.5953757225433526,0.5953757225433526,0.6994219653179191,0.6994219653179191,0.6994219653179191,0.7341040462427746,0.7341040462427746,0.7341040462427746,0.7456647398843931,0.7456647398843931,0.7456647398843931
24,0.6011560693641619,0.6011560693641619,0.6011560693641619,0.6936416184971098,0.6936416184971098,0.6936416184971098,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7456647398843931,0.7456647398843931,0.7456647398843931
25,0.6358381502890174,0.6358381502890174,0.6358381502890174,0.6994219653179191,0.6994219653179191,0.6994219653179191,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.7283236994219653,0.7283236994219653,0.7283236994219653
26,0.6358381502890174,0.6358381502890174,0.6358381502890174,0.7225433526011561,0.7225433526011561,0.7225433526011561,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7398843930635838,0.7398843930635838,0.7398843930635838
27,0.6416184971098265,0.6416184971098265,0.6416184971098265,0.7052023121387283,0.7052023121387283,0.7052023121387283,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7283236994219653,0.7283236994219653,0.7283236994219653
28,0.6416184971098265,0.6416184971098265,0.6416184971098265,0.7052023121387283,0.7052023121387283,0.7052023121387283,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7745664739884393,0.7745664739884393,0.7745664739884393
29,0.6416184971098265,0.6416184971098265,0.6416184971098265,0.6936416184971098,0.6936416184971098,0.6936416184971098,0.7630057803468208,0.7630057803468208,0.7630057803468208,0.7630057803468208,0.7630057803468208,0.7630057803468208
30,0.6127167630057804,0.6127167630057804,0.6127167630057804,0.7225433526011561,0.7225433526011561,0.7225433526011561,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7341040462427746,0.7341040462427746,0.7341040462427746
31,0.630057803468208,0.630057803468208,0.630057803468208,0.7052023121387283,0.7052023121387283,0.7052023121387283,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7283236994219653,0.7283236994219653,0.7283236994219653
32,0.6416184971098265,0.6416184971098265,0.6416184971098265,0.7167630057803468,0.7167630057803468,0.7167630057803468,0.7630057803468208,0.7630057803468208,0.7630057803468208,0.7283236994219653,0.7283236994219653,0.7283236994219653
33,0.630057803468208,0.630057803468208,0.630057803468208,0.7225433526011561,0.7225433526011561,0.7225433526011561,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7456647398843931,0.7456647398843931,0.7456647398843931
34,0.6184971098265896,0.6184971098265896,0.6184971098265896,0.7167630057803468,0.7167630057803468,0.7167630057803468,0.7803468208092486,0.7803468208092486,0.7803468208092486,0.7456647398843931,0.7456647398843931,0.7456647398843931
35,0.6184971098265896,0.6184971098265896,0.6184971098265896,0.7167630057803468,0.7167630057803468,0.7167630057803468,0.7687861271676301,0.7687861271676301,0.7687861271676301,0.7398843930635838,0.7398843930635838,0.7398843930635838
36,0.6184971098265896,0.6184971098265896,0.6184971098265896,0.7167630057803468,0.7167630057803468,0.7167630057803468,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7456647398843931,0.7456647398843931,0.7456647398843931
37,0.6127167630057804,0.6127167630057804,0.6127167630057804,0.7052023121387283,0.7052023121387283,0.7052023121387283,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7514450867052023,0.7514450867052023,0.7514450867052023
38,0.6127167630057804,0.6127167630057804,0.6127167630057804,0.6994219653179191,0.6994219653179191,0.6994219653179191,0.7630057803468208,0.7630057803468208,0.7630057803468208,0.7514450867052023,0.7514450867052023,0.7514450867052023
39,0.6184971098265896,0.6184971098265896,0.6184971098265896,0.7225433526011561,0.7225433526011561,0.7225433526011561,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7456647398843931
40,0.6184971098265896,0.6184971098265896,0.6184971098265896,0.6994219653179191,0.6994219653179191,0.6994219653179191,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7341040462427746,0.7341040462427746,0.7341040462427746
41,0.6069364161849711,0.6069364161849711,0.6069364161849711,0.7052023121387283,0.7052023121387283,0.7052023121387283,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7341040462427746,0.7341040462427746,0.7341040462427746
42,0.630057803468208,0.630057803468208,0.630057803468208,0.7109826589595376,0.7109826589595376,0.7109826589595376,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7341040462427746,0.7341040462427746,0.7341040462427746
43,0.630057803468208,0.630057803468208,0.630057803468208,0.7052023121387283,0.7052023121387283,0.7052023121387283,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7456647398843931,0.7456647398843931,0.7456647398843931
44,0.6184971098265896,0.6184971098265896,0.6184971098265896,0.7052023121387283,0.7052023121387283,0.7052023121387283,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7514450867052023,0.7514450867052023,0.7514450867052023
45,0.630057803468208,0.630057803468208,0.630057803468208,0.7052023121387283,0.7052023121387283,0.7052023121387283,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7572254335260116,0.7572254335260116,0.7572254335260116
46,0.6242774566473989,0.6242774566473989,0.6242774566473989,0.7167630057803468,0.7167630057803468,0.7167630057803468,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7456647398843931,0.7456647398843931,0.7456647398843931
47,0.6358381502890174,0.6358381502890174,0.6358381502890174,0.7225433526011561,0.7225433526011561,0.7225433526011561,0.7630057803468208,0.7630057803468208,0.7630057803468208,0.7572254335260116,0.7572254335260116,0.7572254335260116
48,0.6242774566473989,0.6242774566473989,0.6242774566473989,0.7225433526011561,0.7225433526011561,0.7225433526011561,0.7630057803468208,0.7630057803468208,0.7630057803468208,0.7456647398843931,0.7456647398843931,0.7456647398843931
49,0.6127167630057804,0.6127167630057804,0.6127167630057804,0.7283236994219653,0.7283236994219653,0.7283236994219653,0.7687861271676301,0.7687861271676301,0.7687861271676301,0.7572254335260116,0.7572254335260116,0.7572254335260116
50,0.6416184971098265,0.6416184971098265,0.6416184971098265,0.7225433526011561,0.7225433526011561,0.7225433526011561,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7398843930635838,0.7398843930635838,0.7398843930635838
51,0.6358381502890174,0.6358381502890174,0.6358381502890174,0.7225433526011561,0.7225433526011561,0.7225433526011561,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7456647398843931,0.7456647398843931,0.7456647398843931
52,0.630057803468208,0.630057803468208,0.630057803468208,0.7167630057803468,0.7167630057803468,0.7167630057803468,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7572254335260116,0.7572254335260116,0.7572254335260116
53,0.630057803468208,0.630057803468208,0.630057803468208,0.7225433526011561,0.7225433526011561,0.7225433526011561,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7456647398843931,0.7456647398843931,0.7456647398843931
54,0.630057803468208,0.630057803468208,0.630057803468208,0.7225433526011561,0.7225433526011561,0.7225433526011561,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.7283236994219653,0.7283236994219653,0.7283236994219653
55,0.6358381502890174,0.6358381502890174,0.6358381502890174,0.7225433526011561,0.7225433526011561,0.7225433526011561,0.7687861271676301,0.7687861271676301,0.7687861271676301,0.7283236994219653,0.7283236994219653,0.7283236994219653
56,0.6358381502890174,0.6358381502890174,0.6358381502890174,0.7109826589595376,0.7109826589595376,0.7109826589595376,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7225433526011561,0.7225433526011561,0.7225433526011561
57,0.6358381502890174,0.6358381502890174,0.6358381502890174,0.7225433526011561,0.7225433526011561,0.7225433526011561,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7283236994219653,0.7283236994219653,0.7283236994219653
58,0.6416184971098265,0.6416184971098265,0.6416184971098265,0.7225433526011561,0.7225433526011561,0.7225433526011561,0.7341040462427746,0.7341040462427746,0.7341040462427746,0.7283236994219653,0.7283236994219653,0.7283236994219653
59,0.6242774566473989,0.6242774566473989,0.6242774566473989,0.7225433526011561,0.7225433526011561,0.7225433526011561,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.7341040462427746,0.7341040462427746,0.7341040462427746
60,0.630057803468208,0.630057803468208,0.630057803468208,0.7109826589595376,0.7109826589595376,0.7109826589595376,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7341040462427746,0.7341040462427746,0.7341040462427746
61,0.6358381502890174,0.6358381502890174,0.6358381502890174,0.7283236994219653,0.7283236994219653,0.7283236994219653,0.7630057803468208,0.7630057803468208,0.7630057803468208,0.7514450867052023,0.7514450867052023,0.7514450867052023
62,0.630057803468208,0.630057803468208,0.630057803468208,0.7283236994219653,0.7283236994219653,0.7283236994219653,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7572254335260116,0.7572254335260116,0.7572254335260116
63,0.6242774566473989,0.6242774566473989,0.6242774566473989,0.7167630057803468,0.7167630057803468,0.7167630057803468,0.7630057803468208,0.7630057803468208,0.7630057803468208,0.7514450867052023,0.7514450867052023,0.7514450867052023
64,0.630057803468208,0.630057803468208,0.630057803468208,0.7167630057803468,0.7167630057803468,0.7167630057803468,0.7687861271676301,0.7687861271676301,0.7687861271676301,0.7514450867052023,0.7514450867052023,0.7514450867052023
65,0.6358381502890174,0.6358381502890174,0.6358381502890174,0.7283236994219653,0.7283236994219653,0.7283236994219653,0.7630057803468208,0.7630057803468208,0.7630057803468208,0.7630057803468208,0.7630057803468208,0.7630057803468208
66,0.6416184971098265,0.6416184971098265,0.6416184971098265,0.7225433526011561,0.7225433526011561,0.7225433526011561,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7341040462427746,0.7341040462427746,0.7341040462427746
67,0.630057803468208,0.630057803468208,0.630057803468208,0.7167630057803468,0.7167630057803468,0.7167630057803468,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7283236994219653,0.7283236994219653,0.7283236994219653
68,0.6358381502890174,0.6358381502890174,0.6358381502890174,0.7167630057803468,0.7167630057803468,0.7167630057803468,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7167630057803468,0.7167630057803468,0.7167630057803468
69,0.6473988439306358,0.6473988439306358,0.6473988439306358,0.7167630057803468,0.7167630057803468,0.7167630057803468,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7398843930635838,0.7398843930635838,0.7398843930635838
70,0.6416184971098265,0.6416184971098265,0.6416184971098265,0.7225433526011561,0.7225433526011561,0.7225433526011561,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7745664739884393,0.7745664739884393,0.7745664739884393
71,0.630057803468208,0.630057803468208,0.630057803468208,0.7225433526011561,0.7225433526011561,0.7225433526011561,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7572254335260116
72,0.630057803468208,0.630057803468208,0.630057803468208,0.7225433526011561,0.7225433526011561,0.7225433526011561,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7572254335260116
73,0.6242774566473989,0.6242774566473989,0.6242774566473989,0.7283236994219653,0.7283236994219653,0.7283236994219653,0.7630057803468208,0.7630057803468208,0.7630057803468208,0.7514450867052023,0.7514450867052023,0.7514450867052023
74,0.6416184971098265,0.6416184971098265,0.6416184971098265,0.7167630057803468,0.7167630057803468,0.7167630057803468,0.7687861271676301,0.7687861271676301,0.7687861271676301,0.7398843930635838,0.7398843930635838,0.7398843930635838
75,0.6416184971098265,0.6416184971098265,0.6416184971098265,0.7167630057803468,0.7167630057803468,0.7167630057803468,0.7630057803468208,0.7630057803468208,0.7630057803468208,0.7803468208092486,0.7803468208092486,0.7803468208092486
76,0.630057803468208,0.630057803468208,0.630057803468208,0.7225433526011561,0.7225433526011561,0.7225433526011561,0.7745664739884393,0.7745664739884393,0.7745664739884393,0.7745664739884393,0.7745664739884393,0.7745664739884393
77,0.6416184971098265,0.6416184971098265,0.6416184971098265,0.7225433526011561,0.7225433526011561,0.7225433526011561,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7630057803468208,0.7630057803468208,0.7630057803468208
78,0.6416184971098265,0.6416184971098265,0.6416184971098265,0.7283236994219653,0.7283236994219653,0.7283236994219653,0.7630057803468208,0.7630057803468208,0.7630057803468208,0.7630057803468208,0.7630057803468208,0.7630057803468208
79,0.6416184971098265,0.6416184971098265,0.6416184971098265,0.7283236994219653,0.7283236994219653,0.7283236994219653,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7514450867052023
80,0.630057803468208,0.630057803468208,0.630057803468208,0.7225433526011561,0.7225433526011561,0.7225433526011561,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7630057803468208,0.7630057803468208,0.7630057803468208
81,0.6416184971098265,0.6416184971098265,0.6416184971098265,0.7283236994219653,0.7283236994219653,0.7283236994219653,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7572254335260116
82,0.630057803468208,0.630057803468208,0.630057803468208,0.7341040462427746,0.7341040462427746,0.7341040462427746,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7514450867052023
83,0.653179190751445,0.653179190751445,0.653179190751445,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.7630057803468208,0.7630057803468208,0.7630057803468208,0.7398843930635838,0.7398843930635838,0.7398843930635838
84,0.6358381502890174,0.6358381502890174,0.6358381502890174,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.7630057803468208,0.7630057803468208,0.7630057803468208,0.7572254335260116,0.7572254335260116,0.7572254335260116
85,0.6473988439306358,0.6473988439306358,0.6473988439306358,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7514450867052023,0.7514450867052023,0.7514450867052023
86,0.630057803468208,0.630057803468208,0.630057803468208,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7225433526011561,0.7225433526011561,0.7225433526011561
87,0.6473988439306358,0.6473988439306358,0.6473988439306358,0.7341040462427746,0.7341040462427746,0.7341040462427746,0.7745664739884393,0.7745664739884393,0.7745664739884393,0.7341040462427746,0.7341040462427746,0.7341040462427746
88,0.6416184971098265,0.6416184971098265,0.6416184971098265,0.7341040462427746,0.7341040462427746,0.7341040462427746,0.7687861271676301,0.7687861271676301,0.7687861271676301,0.7341040462427746,0.7341040462427746,0.7341040462427746
89,0.6358381502890174,0.6358381502890174,0.6358381502890174,0.7167630057803468,0.7167630057803468,0.7167630057803468,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7398843930635838,0.7398843930635838,0.7398843930635838
90,0.6416184971098265,0.6416184971098265,0.6416184971098265,0.7341040462427746,0.7341040462427746,0.7341040462427746,0.7745664739884393,0.7745664739884393,0.7745664739884393,0.7456647398843931,0.7456647398843931,0.7456647398843931
91,0.6358381502890174,0.6358381502890174,0.6358381502890174,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.7687861271676301,0.7687861271676301,0.7687861271676301,0.7514450867052023,0.7514450867052023,0.7514450867052023
92,0.6358381502890174,0.6358381502890174,0.6358381502890174,0.7514450867052023,0.7514450867052023,0.7514450867052023,0.7803468208092486,0.7803468208092486,0.7803468208092486,0.7456647398843931,0.7456647398843931,0.7456647398843931
93,0.6416184971098265,0.6416184971098265,0.6416184971098265,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7861271676300579,0.7861271676300579,0.7861271676300579,0.7283236994219653,0.7283236994219653,0.7283236994219653
94,0.6416184971098265,0.6416184971098265,0.6416184971098265,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.7687861271676301,0.7687861271676301,0.7687861271676301,0.7398843930635838,0.7398843930635838,0.7398843930635838
95,0.6416184971098265,0.6416184971098265,0.6416184971098265,0.7398843930635838,0.7398843930635838,0.7398843930635838,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7283236994219653,0.7283236994219653,0.7283236994219653
96,0.653179190751445,0.653179190751445,0.653179190751445,0.7341040462427746,0.7341040462427746,0.7341040462427746,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.7456647398843931
97,0.6358381502890174,0.6358381502890174,0.6358381502890174,0.7283236994219653,0.7283236994219653,0.7283236994219653,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7341040462427746,0.7341040462427746,0.7341040462427746
98,0.6473988439306358,0.6473988439306358,0.6473988439306358,0.7283236994219653,0.7283236994219653,0.7283236994219653,0.7572254335260116,0.7572254335260116,0.7572254335260116,0.7398843930635838,0.7398843930635838,0.7398843930635838
